City,Community,Pincode,Active Registrations,Lat,Lon,,March-2024,April-2024,May-2024,June-2024,July-2024,August-2024,September-2024,October-2024,November-2024,December-2024,January-2025,February-2025,March-2025,April-2025,May-2025,June-2025,July-2025,August-2025,March-2024,April-2024,May-2024,June-2024,July-2024,August-2024,September-2024,October-2024,November-2024,December-2024,January-2025,February-2025,March-2025,April-2025,May-2025,June-2025,July-2025,August-2025
Chennai,C0053,600010,74,13.0828318,80.2417105,,221.2,190,228.3,228.8,184,280.1,215.1,191.7,235.9,206.7,157.7,167.5,234.8,213.6,250.5,217.9,189,302.4,37,38,57,48,48,39,61,46,54,54,58,58,64,54,39,41,39,47
Chennai,C0054,600034,48,13.0569467,80.242469,,180.8,263.1,238.7,203,207.7,336.4,246.6,231.1,296.1,309.3,326.3,254,255,215.5,312.1,216.7,239.5,294.3,37,38,57,48,48,39,61,46,54,54,58,58,64,54,39,37,39,47
Chennai,C0055,600100,145,12.9265969,80.1946406,,207.7,212,230.9,246.7,237.7,307.2,206.8,216.7,361.5,265.5,401.4,280.8,280.2,308.8,356.7,323.2,389.6,292.5,71,61,39,28,22,28,17,33,22,33,17,28,33,39,22,24,22,28
Chennai,C0056,600131,140,12.8905501,80.2030599,,297.3,224,315.4,290,371.1,499.3,465.7,517.1,722.9,727.7,942.8,724.8,808,958.1,918.3,1043.6,358.7,278.2,62,62,45,47,53,49,53,56,44,42,47,49,51,47,40,38,40,43
Chennai,C0057,600010,154,13.0416096,80.1313437,,389,502.9,480.3,465.5,585,372.3,393.4,513.9,397.5,389.2,454.6,322.5,334.4,448.2,381.5,364,502.7,263.4,37,38,57,48,48,39,61,46,54,54,58,58,64,54,39,40,38,47
Chennai,C0058,600100,61,12.9238698,80.1859346,,194,197.2,234.6,208.7,199.1,208.1,173.9,170.9,252.8,184,289.4,228,249.9,235.7,236.3,223.5,307.9,230.7,62,62,45,47,53,49,53,56,44,42,47,49,51,47,40,42,41,44
Chennai,C0059,600100,120,12.934254,80.190989,,241.3758929,252.6042614,,,,245.6,258.9,223.7,418.2,275.3,327.5,250.4,251.2,239.9,233.2,239.1,264.7,225.2,0,0,0,0,0,39,61,46,54,54,58,58,64,54,39,40,38,47
Chennai,C0060,600034,62,13.0576116,80.2345444,,151.7,211.1,217.5,161.1,150.2,191.3,165.9,152.7,208.5,218.4,187.5,159,142.3,154.8,220.2,192.4,144.5,220.3,37,38,57,48,48,39,61,46,54,54,58,58,64,54,39,40,39,47
Chennai,C0061,600122,163,13.013405,80.135082,,241.3758929,46.5,241.8,257.2,332,236,280.4,224,308.9,296.8,226.7,184.5,144.5,147.5,212.6,243.6,177.9,212.3,56,56,57,63,7,50,60,64,59,63,65,61,62,64,59,57,59,60
Chennai,C0062,600041,132,12.9631951,80.2565244,,192.5,212.3,256.4,180.5,198.4,241.9,241.2,214.6,249.4,230.8,269.2,249.1,259.1,171.6,183.7,205.5,161.5,196.5,28,44,33,37,32,36,36,27,29,26,26,23,27,27,21,19,21,23
Chennai,C0063,600100,78,12.9263337,80.1890216,,172.8,156.5,199.1,181.3,182.7,222.1,224.7,168,252,175,211.5,158,164.8,214.2,203.8,208.8,248.4,183.8,56,56,57,63,7,50,60,64,59,63,65,61,62,64,59,61,59,61
Chennai,C0064,600044,134,12.9532159,80.1633967,,262.8,263.1,345.8,307.9,303.8,344.9,287.6,287.1,361.5,311.1,381.6,318.6,248.1,310.3,307.8,275,307,179.9,71,61,38,65,29,64,66,67,67,63,60,60,63,58,52,50,52,55
Chennai,C0065,600100,59,12.92617,80.189287,,241.3758929,252.6042614,,,0,137.7,135.9,86.1,146.4,152.6,258.8,132.3,177.4,162.6,138.7,188,220.3,166.5,0,0,0,0,0,18,16,20,16,23,49,49,49,51,51,49,51,50
Chennai,C0066,600010,34,13.0761027,80.2345437,,75.7,56.3,42.6,67.3,45.2,72.6,68.4,113.1,168.2,265.2,220.3,164.6,217.9,194.4,166.4,151.2,96.2,162.7,33,37,33,33,0,33,33,33,33,33,33,33,33,33,33,35,33,33
Chennai,C0067,600017,39,13.0123421,80.2697653,,145,128.4,164.4,115.1,147.2,187,151.4,117.5,151.8,159.3,133.3,118.2,171,118.2,114.5,201.6,159.4,155.1,17,14,50,50,50,50,25,50,50,50,25,25,25,25,50,48,50,40
